ID,"Post Type",Title,Content,"Course Categories",Permalink,"Attachment URL","Attachment Filename","Image URL","Image Filename"
26244,sfwd-courses,"Live In Conversation",,Propagate,https://seedlabacademy.net.au/courses/live-in-conversation/,,,https://seedlabacademy.net.au/wp-content/uploads/2022/03/Live-in-Conversation.jpg,Live-in-Conversation.jpg
26332,sfwd-courses,"Cohort 1 Live Content",,Cultivate,https://seedlabacademy.net.au/courses/cohort-1-live-content/,,,https://seedlabacademy.net.au/wp-content/uploads/2021/12/Cultivate-Community.png,Cultivate-Community.png
27138,sfwd-courses,"Woolworths Seedlab Expo","<!-- wp:paragraph -->
<p>This module is the 'go to place' for all of the information related to the Woolworths Seedlab Expo.  </p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>The date of the next Expo is Wednesday 22nd April 2026 (EXPO 7)</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p></p>
<!-- /wp:paragraph -->",Cultivate,https://seedlabacademy.net.au/courses/woolworths-seedlab-expo/,,,https://seedlabacademy.net.au/wp-content/uploads/2023/05/20240229_Woolworths_Seedlab-577-1-e1738638599219.jpg|https://seedlabacademy.net.au/wp-content/uploads/2023/05/expo_course_tile.jpg,20240229_Woolworths_Seedlab-577-1-e1738638599219.jpg|expo_course_tile.jpg
27374,sfwd-courses,"Business & Leadership",,Propagate,https://seedlabacademy.net.au/courses/business-leadership/,,,https://seedlabacademy.net.au/wp-content/uploads/2023/09/20240801_RedJelly_Seedlab-464-scaled-e1738638479219.jpg|https://seedlabacademy.net.au/wp-content/uploads/2023/09/Business-and-Leadership-Prop.png,20240801_RedJelly_Seedlab-464-scaled-e1738638479219.jpg|Business-and-Leadership-Prop.png
27377,sfwd-courses,Product,,Propagate,https://seedlabacademy.net.au/courses/product/,,,https://seedlabacademy.net.au/wp-content/uploads/2023/09/20240801_RedJelly_Seedlab-481-e1758591332931.jpg|https://seedlabacademy.net.au/wp-content/uploads/2023/09/Product-Prop.png,20240801_RedJelly_Seedlab-481-e1758591332931.jpg|Product-Prop.png
27380,sfwd-courses,"Sales & Marketing",,Propagate,https://seedlabacademy.net.au/courses/sales-marketing/,,,https://seedlabacademy.net.au/wp-content/uploads/2023/09/Seedlab-Expo6-615-1-e1758589309665.jpg|https://seedlabacademy.net.au/wp-content/uploads/2023/09/Sales-and-Marketing-Prop.png|https://seedlabacademy.net.au/wp-content/uploads/2023/09/BASKCO.jpg,Seedlab-Expo6-615-1-e1758589309665.jpg|Sales-and-Marketing-Prop.png|BASKCO.jpg
27383,sfwd-courses,Supply,,Cultivate,https://seedlabacademy.net.au/courses/supply/,,,https://seedlabacademy.net.au/wp-content/uploads/2023/09/ZEA_2-1-e1758589699645.jpg|https://seedlabacademy.net.au/wp-content/uploads/2023/09/Woolworths-Prop.png,ZEA_2-1-e1758589699645.jpg|Woolworths-Prop.png
27688,sfwd-courses,"Cohort 8 Community",,Cultivate,https://seedlabacademy.net.au/courses/cohort-8-community/,,,https://seedlabacademy.net.au/wp-content/uploads/2024/01/Cultivate-8-Community.jpg,Cultivate-8-Community.jpg
27727,sfwd-courses,"The Seedlab Hub","<!-- wp:group {""layout"":{""type"":""constrained""}} -->
<div class=""wp-block-group""><!-- wp:paragraph -->
<p>The Hub is your portal to glory! This is the place to showcase your retail ready products – their pics, unique selling points, your capacity and your prices and more. You can add your business pitch in video and written/visual format to add further information, and to inspire. You can also showcase innovative new products you may have in development, with timelines.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>The next step the Category Manger will take is to reach out to you for more information, perhaps asking you to send in samples, or make a time to chat.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong>Note:</strong>&nbsp;The Hub DOES NOT replace engaging in the normal Category Review Process, nor does it replace uploading your product information via Partner Hub, which we recommend you also do.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>However, the Seedlab Hub may supercharge you as a potential new Woolworths Supplier. We hope so, anyway! Good luck!</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>To go to the Seedlab Hub  click this link:-  <a href=""https://seedlabhub.com.au/login"" target=""_blank"" rel=""noreferrer noopener"">https://seedlabhub.com.au/login</a>.</p>
<!-- /wp:paragraph --></div>
<!-- /wp:group -->",Cultivate,https://seedlabacademy.net.au/courses/the-seedlab-hub/,,,https://seedlabacademy.net.au/wp-content/uploads/2024/02/hub_screenshot.jpg,hub_screenshot.jpg
27759,sfwd-courses,"Nurture Greenhouse",,Cultivate,https://seedlabacademy.net.au/courses/nurture-greenhouse/,,,https://seedlabacademy.net.au/wp-content/uploads/2024/03/allmiteogldnurture.png|https://seedlabacademy.net.au/wp-content/uploads/2024/03/Nurture-Tile.jpg,allmiteogldnurture.png|Nurture-Tile.jpg
27864,sfwd-courses,"Cohort 9 Community",,Cultivate,https://seedlabacademy.net.au/courses/cohort-9-community/,,,https://seedlabacademy.net.au/wp-content/uploads/2024/04/Cultivate-9_3.jpg,Cultivate-9_3.jpg
28650,sfwd-courses,"Week 1 - The Seedlab Australia Bootcamp Program and You","<!-- wp:paragraph -->
<p>This module provides an introduction to Seedlab Australia, an overview of how the course works, and what to prepare for Week 1.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p></p>
<!-- /wp:paragraph -->",Bootcamp,https://seedlabacademy.net.au/courses/week-1-the-seedlab-australia-bootcamp-program-and-you/,,,https://seedlabacademy.net.au/wp-content/uploads/2021/10/20240229_Woolworths_Seedlab-836-1-scaled-e1738638290862.jpg,20240229_Woolworths_Seedlab-836-1-scaled-e1738638290862.jpg
