ID,Title,Content,Permalink,"Post Type","Attachment URL","Attachment Filename","Image URL","Image Filename","Lesson Categories"
25427,"Zoom Like An Expert","<!-- wp:paragraph -->
<p>In this video Darren West provides a brief introduction to how we use Zoom in Seedlab Australia as well as demonstrating some of the basic functionality.</p>
<!-- /wp:paragraph -->

<!-- wp:html -->
<iframe src=""https://player.vimeo.com/video/644590222?h=a727447efd"" width=""640"" height=""400"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>
<!-- /wp:html -->",https://seedlabacademy.net.au/courses/1a-introduction-to-seedlab/lessons/zoom-like-an-expert/,sfwd-lessons,,,,,
25430,"Watch Me Eat","<!-- wp:paragraph -->
<p>In addition to talking to consumers, a powerful technique to help understand their problems is to observe their experiences. By experience observation it is often possible to identify problems and pain points that consumer may not even consciously register. An example of this process is given through an exercise called ‘Watch me eat’ where critical observation is coupled with a powerful questioning method called TED (<strong>T</strong>ell,&nbsp;<strong>E</strong>xplain and&nbsp;<strong>D</strong>escribe).  In this video Dr Hazel MacTavish-West describes how to use this process to maximum effect.  The associated worksheet and slides can be found under the 'Materials' tab.</p>
<!-- /wp:paragraph -->

<!-- wp:html -->
<iframe src=""https://player.vimeo.com/video/644587628?h=73d4520e3a"" width=""640"" height=""400"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>
<!-- /wp:html -->",https://seedlabacademy.net.au/lessons/watch-me-eat/,sfwd-lessons,,,,,
25435,"The Target Consumer Persona","<!-- wp:paragraph -->
<p>The Target Consumer Persona can be a powerful tool tool to help you capture and understand the essence of your target consumer and assist with internal communication of this profile and ensuring that all of your activities are aligned to target (or targets).  In this video Andy Cooley and Iain White introduce the process of developing a consumer persona.  The accompanying slides and associated worksheet can be found under the 'Materials' tab.   The Target Consumer Persona  is 'essential worksheet #2' which we require you to complete and upload with your pitch at the end of bootcamp if you wish to be considered for Cultivate. </p>
<!-- /wp:paragraph -->

<!-- wp:html -->
<iframe src=""https://player.vimeo.com/video/644587570?h=1ed91a4097"" width=""640"" height=""400"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>
<!-- /wp:html -->",https://seedlabacademy.net.au/lessons/the-target-consumer-persona/,sfwd-lessons,,,,,
25450,"Understanding the Customer and Consumer","<!-- wp:paragraph -->
<p>In this video Ray Butcher considers the differences in needs between customers and consumers. These differing needs are then explored through the various routes to market that are available for FMCG.  The accompanying slides can be found under the 'Materials' tab.</p>
<!-- /wp:paragraph -->

<!-- wp:html -->
<iframe src=""https://player.vimeo.com/video/644544468?h=34fb803320"" width=""640"" height=""400"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>
<!-- /wp:html -->

<!-- wp:paragraph -->
<p></p>
<!-- /wp:paragraph -->",https://seedlabacademy.net.au/courses/2-consumers-competition/lessons/understanding-the-customer-and-consumer/,sfwd-lessons,,,,,
25491,"Ian Sypkes from Sanyou Baijiu","<!-- wp:paragraph -->
<p>In this short video Ian Sypkes from Sanyou Baijiu talks about his experiences from having taken part in the Seedlab Tasmania program.</p>
<!-- /wp:paragraph -->

<!-- wp:html -->
<iframe src=""https://player.vimeo.com/video/644230766?h=ad52265e89"" width=""640"" height=""400"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>
<!-- /wp:html -->

<!-- wp:paragraph -->
<p>Also available as audio only.</p>
<!-- /wp:paragraph -->

<!-- wp:html -->
<iframe width=""100%"" height=""300"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1139574460%3Fsecret_token%3Ds-H93lZRkqDlP&amp;color=%23ff5500&amp;auto_play=false&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false&amp;show_teaser=true&amp;visual=true""></iframe>
<!-- /wp:html -->",https://seedlabacademy.net.au/lessons/ian-sypkes-from-sanyou-baijiu/,sfwd-lessons,,,,,
25501,"Introduction to the Seedlab Australia Academy","<!-- wp:paragraph -->
<p>The short video below provides a brief tour of the Seedlab Australia Academy learning portal.</p>
<!-- /wp:paragraph -->

<!-- wp:html -->
<iframe src=""https://player.vimeo.com/video/644585761?h=2c25d3641a"" width=""640"" height=""400"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>
<!-- /wp:html -->

<!-- wp:paragraph -->
<p></p>
<!-- /wp:paragraph -->",https://seedlabacademy.net.au/courses/1a-introduction-to-seedlab/lessons/introduction-to-the-seedlab-australia-academy/,sfwd-lessons,,,,,
25503,"What is a Minimum Viable Product?","<!-- wp:paragraph -->
<p>In this session Darren West introduces the concept of the Minimum Viable Product (MVP) and discusses why they can be useful in developing new ideas through the idea often referred to as 'failing fast'.  The accompanying slides can be found under the 'Materials' tab.</p>
<!-- /wp:paragraph -->

<!-- wp:html -->
<iframe src=""https://player.vimeo.com/video/644230056?h=89593621e0"" width=""640"" height=""400"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>
<!-- /wp:html -->

<!-- wp:paragraph -->
<p></p>
<!-- /wp:paragraph -->",https://seedlabacademy.net.au/lessons/what-is-a-minimum-viable-product/,sfwd-lessons,,,,,
25505,"Production and Process Flow","<!-- wp:paragraph -->
<p>In this video Ray Butcher discusses the importance of having a solid understanding of your production and process flows.  The accompanying slides can be found under the 'Materials' tab.</p>
<!-- /wp:paragraph -->

<!-- wp:html -->
<iframe src=""https://player.vimeo.com/video/644541237?h=b884158c85"" width=""640"" height=""400"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>
<!-- /wp:html -->

<!-- wp:paragraph -->
<p></p>
<!-- /wp:paragraph -->",https://seedlabacademy.net.au/lessons/production-and-process-flow/,sfwd-lessons,,,,,
25507,"LEAN and Costings Review","<!-- wp:paragraph -->
<p>In this video Ray Butcher discusses the benefits of adopting a LEAN strategy for your business ensuring a culture of continuous improvement. The video finishes with a revisit to product costings in the light of consideration of processes and LEAN.  The accompanying slides and the costing worksheet (worksheet #6) can be found under the 'Materials' tab.  The worksheet is required to be uploaded as part of your Cultivate pitch.</p>
<!-- /wp:paragraph -->

<!-- wp:html -->
<iframe src=""https://player.vimeo.com/video/644231116?h=31365f4719"" width=""640"" height=""400"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>
<!-- /wp:html -->

<!-- wp:paragraph -->
<p></p>
<!-- /wp:paragraph -->",https://seedlabacademy.net.au/lessons/lean-and-costings-review/,sfwd-lessons,,,,,
25515,"What Does Retail Ready Involve?","<!-- wp:paragraph -->
<p>In this video Ray Butcher discusses the things that you need to consider to become retail ready both in terms or product and organisation. The accompanying slides and the <strong>Retail Ready Checklist template</strong> can be found under the 'Materials' tab. The worksheet is required to be uploaded as part of your Cultivate pitch.</p>
<!-- /wp:paragraph -->

<!-- wp:embed {""url"":""https://vimeo.com/video/644542428?h=b9e7d8612f"",""type"":""video"",""providerNameSlug"":""vimeo"",""responsive"":true,""className"":""wp-embed-aspect-16-9 wp-has-aspect-ratio""} -->
<figure class=""wp-block-embed is-type-video is-provider-vimeo wp-block-embed-vimeo wp-embed-aspect-16-9 wp-has-aspect-ratio""><div class=""wp-block-embed__wrapper"">
https://vimeo.com/video/644542428?h=b9e7d8612f
</div></figure>
<!-- /wp:embed -->

<!-- wp:paragraph -->
<p></p>
<!-- /wp:paragraph -->",https://seedlabacademy.net.au/courses/week-5-are-you-retail-ready/lessons/what-does-retail-ready-involve/,sfwd-lessons,,,,,
25517,"Capacity and Capability","<!-- wp:paragraph -->
<p>In this video Ray Butcher considers the differences between capacity and capability, and then demonstrates why a clear understanding of these features of your own business must inform you decisions to supply to retail.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>The accompanying slides and the Capacity Worksheet can be found under the 'Materials' tab. </p>
<!-- /wp:paragraph -->

<!-- wp:embed {""url"":""https://vimeo.com/video/644542318?h=a9c4724e32"",""type"":""video"",""providerNameSlug"":""vimeo"",""responsive"":true,""className"":""wp-embed-aspect-16-9 wp-has-aspect-ratio""} -->
<figure class=""wp-block-embed is-type-video is-provider-vimeo wp-block-embed-vimeo wp-embed-aspect-16-9 wp-has-aspect-ratio""><div class=""wp-block-embed__wrapper"">
https://vimeo.com/video/644542318?h=a9c4724e32
</div></figure>
<!-- /wp:embed -->

<!-- wp:paragraph -->
<p></p>
<!-- /wp:paragraph -->",https://seedlabacademy.net.au/courses/week-5-are-you-retail-ready/lessons/capacity-and-capability/,sfwd-lessons,,,,,
25543,"Andy Jackman from Red Cow Organics","<!-- wp:paragraph -->
<p>In this short video Andy Jackman from Red Cow Organics talks about her experiences from having taken part in the Seedlab Tasmania program and how business has developed subsequently.</p>
<!-- /wp:paragraph -->

<!-- wp:html -->
<iframe src=""https://player.vimeo.com/video/644229977?h=90e9363de7"" width=""640"" height=""400"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>
<!-- /wp:html -->

<!-- wp:paragraph -->
<p>Also available as audio only.</p>
<!-- /wp:paragraph -->

<!-- wp:html -->
<iframe width=""100%"" height=""300"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1140292417%3Fsecret_token%3Ds-rUsHJup2Cbf&amp;color=%23ff5500&amp;auto_play=false&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false&amp;show_teaser=true&amp;visual=true""></iframe>
<!-- /wp:html -->",https://seedlabacademy.net.au/lessons/andy-jackman-from-red-cow-organics/,sfwd-lessons,,,,,
25551,"Insights from Supplying Woolworths",,https://seedlabacademy.net.au/lessons/insights-from-supplying-woolworths/,sfwd-lessons,,,,,
25559,"Your Brand Story","<!-- wp:paragraph -->
<p>In this video Andy Cooley and Iain White introduce the power of the brand story as a vehicle with which to inform and frame communication about your brand to your consumers.  The accompanying slide set can be found under the 'Materials' tab along with a worksheet template to help you develop your brand story.  This worksheet is the required worksheet #9 to be uploaded with your Cultivate pitch.</p>
<!-- /wp:paragraph -->

<!-- wp:html -->
<iframe src=""https://player.vimeo.com/video/644226697?h=30e79afba8"" width=""640"" height=""400"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>
<!-- /wp:html -->",https://seedlabacademy.net.au/lessons/your-brand-story/,sfwd-lessons,,,,,
25563,"Food Regulation: Getting Your Labelling Right","<!-- wp:paragraph -->
<p>This module, presented by Fiona Fleming from the&nbsp;<a rel=""noreferrer noopener"" href=""https://www.aifst.asn.au/"" target=""_blank"">AIFST</a>&nbsp;(Australian Institute of Food Science and Technology) discusses the issues around food regulations and ensuring that your labels are correct and compliant.</p>
<!-- /wp:paragraph -->

<!-- wp:embed {""url"":""https://vimeo.com/video/645857992?h=076787681a"",""type"":""video"",""providerNameSlug"":""vimeo"",""responsive"":true,""className"":""wp-embed-aspect-16-9 wp-has-aspect-ratio""} -->
<figure class=""wp-block-embed is-type-video is-provider-vimeo wp-block-embed-vimeo wp-embed-aspect-16-9 wp-has-aspect-ratio""><div class=""wp-block-embed__wrapper"">
https://vimeo.com/video/645857992?h=076787681a
</div></figure>
<!-- /wp:embed -->

<!-- wp:paragraph -->
<p></p>
<!-- /wp:paragraph -->",https://seedlabacademy.net.au/courses/week-3-your-product-who-buys-it/lessons/food-regulation-getting-your-labelling-right/,sfwd-lessons,,,,,
25593,"A Beginners Guide to Top-Notch Visual Content","<!-- wp:paragraph -->
<p>In this video Jericho Cleary from Digital Dandy talks about using your iPhone or similar to take great videos and photos. Getting the lighting right. Using the timer. Portrait or Landscape? Use these 10 tips and your photos and videos will sing!</p>
<!-- /wp:paragraph -->

<!-- wp:html -->
<iframe src=""https://player.vimeo.com/video/645856042?h=1511880be5"" width=""640"" height=""480"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>
<!-- /wp:html -->",https://seedlabacademy.net.au/lessons/a-beginners-guide-to-top-notch-visual-content/,sfwd-lessons,,,,,
25597,"So You Want More? Pitch to Cultivate","<!-- wp:paragraph -->
<p>As Bootcamp draws to an end, what happens next?</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>In this short video Dr. Hazel MacTavish-West describes what the Seedlab Australia Cultivate program looks like and provides further information around the application process and deadlines for the program.  The accompanying slides can be found under the 'Materials' tab.</p>
<!-- /wp:paragraph -->

<!-- wp:embed {""url"":""https://vimeo.com/1107619088/72717acbb8?share=copy"",""type"":""video"",""providerNameSlug"":""vimeo"",""responsive"":true,""className"":""wp-embed-aspect-16-9 wp-has-aspect-ratio""} -->
<figure class=""wp-block-embed is-type-video is-provider-vimeo wp-block-embed-vimeo wp-embed-aspect-16-9 wp-has-aspect-ratio""><div class=""wp-block-embed__wrapper"">
https://vimeo.com/1107619088/72717acbb8?share=copy
</div></figure>
<!-- /wp:embed -->",https://seedlabacademy.net.au/courses/week-6-ready-set-go/lessons/so-you-want-more-pitch-to-cultivate/,sfwd-lessons,https://seedlabacademy.net.au/wp-content/uploads/2026/03/Cultivate-13-Pitch-Info-Feb-2026.pptx.pdf,Cultivate-13-Pitch-Info-Feb-2026.pptx.pdf,,,
