ID,Title,Content,Permalink,"Post Type","Attachment URL","Attachment Filename","Image URL","Image Filename","Topic Categories"
25858,"Designs and Patents with Claire Gregg and Richard Brown","<!-- wp:paragraph -->
<p>In this video provided by Claire Gregg and Richard Brown from Davies Collison Cave the aspects of design and patent IP protection are discussed along with the key differences between design rights and patent rights and when each type is appropriate.</p>
<!-- /wp:paragraph -->

<!-- wp:html -->
<iframe src=""https://player.vimeo.com/video/653530975?h=d52913ebf3"" width=""640"" height=""400"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>
<!-- /wp:html -->

<!-- wp:paragraph -->
<p>Keywords:  Davies Collison Cave, Claire Gregg, Richard Brown, Patent, Design Right, Registered Design, Infringement, Protection, Intellectual Property, IP, Claims</p>
<!-- /wp:paragraph -->",https://seedlabacademy.net.au/topic/designs-and-patents-with-claire-gregg-and-richard-brown/,sfwd-topic,,,,,
25860,"Law for Business with Gordon Hughes","<!-- wp:paragraph -->
<p>In this video provided by Dr Gordon Hughes from Davies Collison Cave the issues of business law are considered, in particular the importance of contracts, copyright, confidentiality and commercialisation which are key topics for intellectual property issues.</p>
<!-- /wp:paragraph -->

<!-- wp:html -->
<iframe src=""https://player.vimeo.com/video/653531587?h=aea32768af"" width=""640"" height=""400"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen=""""></iframe>
<!-- /wp:html -->

<!-- wp:paragraph -->
<p>Keywords: Davies Collison Cave, Gordon Hughes, Business Law, Contracts, Copyright, Confidentiality,  Commercialisation, Licence, Intellectual Property, IP, Modern Slavery, Loss</p>
<!-- /wp:paragraph -->",https://seedlabacademy.net.au/topic/law-for-business-with-gordon-hughes/,sfwd-topic,,,,,
25878,"Hangout #1 - 7 December 2021","<!-- wp:paragraph -->
<p>This recording is from Seedlab Australia Cultivate group 1, hangout #1 held on the 7th December 2021.  The associated slides can be found under the 'Materials' tab.</p>
<!-- /wp:paragraph -->

<!-- wp:html -->
<iframe src=""https://player.vimeo.com/video/653982795?h=f928021ccc"" width=""640"" height=""400"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>
<!-- /wp:html -->

<!-- wp:paragraph -->
<p>Keywords: Hangout #1, Potting Shed, Introduction, Cornerstones</p>
<!-- /wp:paragraph -->",https://seedlabacademy.net.au/courses/cohort-1-live-content/lessons/cohort-1-hangout-archive/topic/hangout-1-7-december-2021/,sfwd-topic,,,,,
25911,"Hangout #2 - 18th January 2022","<!-- wp:paragraph -->
<p>This recording is from Seedlab Australia Cultivate group 1, hangout #2 held on the 18th January 2022. The associated slides can be found under the ‘Materials’ tab.</p>
<!-- /wp:paragraph -->

<!-- wp:html -->
<iframe src=""https://player.vimeo.com/video/667153752?h=c0ddd154f1"" width=""640"" height=""400"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen=""""></iframe>
<!-- /wp:html -->",https://seedlabacademy.net.au/courses/cohort-1-live-content/lessons/cohort-1-hangout-archive/topic/hangout-2-18th-january-2022/,sfwd-topic,,,,,
25978,"Brand Strategy- The Foundations","<!-- wp:paragraph -->
<p>Presented by The Offices, this module explains how to create the foundations of an impactful brand, with a discussion of four critical areas: (a) purpose statement, (b) unique selling proposition, (c) brand values and (d) market position.  It forms the first in a series of modules around branding and packaging of products.  The accompanying  slides and workbook can be found under the 'Materials' tab.</p>
<!-- /wp:paragraph -->

<!-- wp:html -->
<iframe src=""https://player.vimeo.com/video/673056414?h=e7a576f83a"" width=""640"" height=""400"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen=""""></iframe>
<!-- /wp:html -->

<!-- wp:paragraph -->
<p>Key words: Brand, branding, USP, unique selling proposition, brand value, market position, The Offices, purpose</p>
<!-- /wp:paragraph -->",https://seedlabacademy.net.au/courses/marketing/lessons/branding-presented-by-the-offices/topic/brand-strategy-the-foundations/,sfwd-topic,,,,,
26012,"Production Scale-Up Q&A 08/02/2022","<!-- wp:paragraph -->
<p>Rob Munton from Food Projx Pty Ltd provided this Q&amp;A session to discuss any questions resulting from his Production Scale-Up module. This Q&amp;A was recorded on the 8th February 2022.</p>
<!-- /wp:paragraph -->

<!-- wp:html -->
<iframe src=""https://player.vimeo.com/video/674687985?h=9431ea902f"" width=""640"" height=""400"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>
<!-- /wp:html -->",https://seedlabacademy.net.au/topic/production-scale-up-qa-08-02-2022/,sfwd-topic,,,,,
26019,"Brand Strategy- Brand Position","<!-- wp:paragraph -->
<p>Presented by The Offices, this module builds on the  Foundations and explains how to position your brand so as to persuade customers and consumers to select your products over those of your competitors.  A number of real-world examples are provided as well as demonstrations of the positioning tools provided.  The workbook and accompanying slides can be found under the ‘Materials’ tab.</p>
<!-- /wp:paragraph -->

<!-- wp:html -->
<iframe src=""https://player.vimeo.com/video/675653198?h=b520652119"" width=""640"" height=""400"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen=""""></iframe>
<!-- /wp:html -->

<!-- wp:paragraph -->
<p>Key words: Brand, branding, market position, value, The Offices</p>
<!-- /wp:paragraph -->",https://seedlabacademy.net.au/courses/marketing/lessons/branding-presented-by-the-offices/topic/brand-strategy-brand-position/,sfwd-topic,,,,,
26026,"Brand Strategy- Brand Personality","<!-- wp:paragraph -->
<p>Presented by The Offices, this third module builds on the Foundations and Position and explains how to bring your brand to life by giving it personality and a voice. A number of real-world examples are provided as well as demonstrations of the positioning tools provided. The workbook and accompanying slides can be found under the ‘Materials’ tab.</p>
<!-- /wp:paragraph -->

<!-- wp:html -->
<iframe src=""https://player.vimeo.com/video/677535958?h=cf650690e6"" width=""640"" height=""480"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>
<!-- /wp:html -->

<!-- wp:paragraph -->
<p>Key words:  The Offices, brand personality, archetype, voice, tone</p>
<!-- /wp:paragraph -->",https://seedlabacademy.net.au/courses/marketing/lessons/branding-presented-by-the-offices/topic/brand-strategy-brand-personality/,sfwd-topic,,,,,
26030,"Hangout #3 - 15th February 2022","<!-- wp:paragraph -->
<p>This recording is from Seedlab Australia Cultivate group 1, hangout #3 held on the 15th February 2022. The associated slides can be found under the ‘Materials’ tab.</p>
<!-- /wp:paragraph -->

<!-- wp:html -->
<iframe src=""https://player.vimeo.com/video/677582501?h=7975554523"" width=""640"" height=""480"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>
<!-- /wp:html -->",https://seedlabacademy.net.au/courses/cohort-1-live-content/lessons/cohort-1-hangout-archive/topic/hangout-3-15th-february-2022/,sfwd-topic,,,,,
26046,Design,"<!-- wp:paragraph -->
<p>Presented by The Offices, this module builds on the brand that has been developed through the previous modules and considers what makes a good design, how to find a good designer and how to manage the process of working with them. A number of real-world examples are provided. The workbook and accompanying slides can be found under the ‘Materials’ tab.</p>
<!-- /wp:paragraph -->

<!-- wp:html -->
<iframe src=""https://player.vimeo.com/video/677904259?h=7330bfa8cf"" width=""640"" height=""400"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen=""""></iframe>
<!-- /wp:html -->

<!-- wp:paragraph -->
<p>Key words: Design, The Offices, brief, designer, brand</p>
<!-- /wp:paragraph -->",https://seedlabacademy.net.au/courses/marketing/lessons/visual-identity-presented-by-the-offices/topic/design/,sfwd-topic,,,,,
